iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score
47,1.7973697185516357,-547.9718266040344,13.258359902986259,-518.3197438832572,-585.3527007930871,0.7048124790366368,0.05,0.03438687324523926,0.34523701667785645,0.02567755,0.07090412,-550.172631708241,-0.08163687204306187,-2.236894849970558,0.0,5279,0.9265973567962646,0.0004331906580562092,0.00034529507866250535,-531.9916547929402
48,1.799638032913208,-546.6173220014739,14.272458882619956,-508.5446687694183,-588.3072391299024,0.6798928849263258,0.05,0.03679394721984863,0.4284019470214844,0.02552515,0.073446155,-549.8171007375644,-0.08006540583308791,-2.2302085155990756,0.0,5295,0.9705777168273926,0.00034974801890423445,0.0003186267065963546,-530.2055966360906
49,1.7895326614379883,-547.7522341877594,15.292931952434172,-510.90531899860287,-602.3929985715353,0.6762255588858057,0.05,0.06221628189086914,0.38241028785705566,0.025669334,0.07131319,-549.6106140825839,-0.08323631043791657,-2.235731107030252,0.0,5582,1.1916460990905762,0.00055132079016007,0.0004925304619982249,-526.1752770706772
50,1.9659299850463867,-550.981167979479,15.309127990344908,-515.5493785622748,-632.0234188068061,0.6669152112585096,0.05,0.05764293670654297,0.4369504451751709,0.025751302,0.07424153,-549.7476694722734,-0.08552687579954675,-2.2519057986043256,0.0,6148,1.0875108242034912,0.0006924047820489965,0.0005572971504718479,-523.1437895345733
51,1.9810898303985596,-551.8145774478529,18.3066935214381,-515.9603135683997,-619.8146750841046,0.7162769216052867,0.05,0.07764196395874023,0.28501391410827637,0.024769017,0.06870341,-549.9543602698313,-0.08653310788388259,-2.256288658901035,0.0,6279,1.2599351406097412,0.0005418978262196135,0.0004930921563054198,-519.9352953522857
52,1.991220235824585,-549.3637898699704,17.203248574058133,-512.3744814817629,-601.8694658371754,0.797277450123261,0.05,0.05871868133544922,0.3704981803894043,0.024798758,0.060620435,-549.8953032298452,-0.08843559890527279,-2.244132994169951,0.0,6262,1.1607508659362793,0.0007970831534485279,0.0007679543422575594,-518.1009095249511
53,2.246615171432495,-554.7082780688943,17.22336530528899,-518.0066179654907,-627.1821476998329,0.802818783281208,0.05,0.05574393272399902,0.45811915397644043,0.02494338,0.061400745,-550.3766007137501,-0.08796567699370582,-2.270783333704787,0.0,6789,1.596998929977417,0.0007824310799373685,0.0007423735903565769,-517.3884080306365
54,2.2567312717437744,-553.5758510689552,20.55655519883877,-508.2546964384017,-630.731552211767,0.7869460958520741,0.05,0.05001020431518555,0.5147321224212646,0.025468932,0.063215695,-550.6965257492707,-0.08877440949925296,-2.265286502116056,0.0,6914,1.336625099182129,0.0010252219198414944,0.0009748713027138956,-516.3333202812871
55,2.1810877323150635,-551.8817757288294,20.877923950881527,-519.360530791334,-610.1966085665473,0.8315563446846316,0.05,0.06993722915649414,0.4054727554321289,0.025200056,0.061536305,-550.8150507472266,-0.08814149417001672,-2.2569970482223596,0.0,7156,1.2087833881378174,0.0010115133991243353,0.0008900040287852672,-516.2289450807963
56,2.2733263969421387,-558.7822418529315,23.948348162262388,-514.8334082389293,-676.7704042696844,0.8611664578959249,0.05,0.044954538345336914,0.4276912212371826,0.025648886,0.058178905,-551.6117698577971,-0.09124601455208588,-2.291688963952576,0.0,7761,1.5483849048614502,0.0010740234364725113,0.0010043346149043644,-517.0412905809426
57,2.2137036323547363,-554.2099845110267,23.23748589472022,-511.44492739127406,-657.8854839590646,0.9114206844663906,0.05,0.04222416877746582,0.5052404403686523,0.025190428,0.056257077,-551.87159132312,-0.08964685671959596,-2.268761365231626,0.0,7791,1.4299700260162354,0.0012690875251594716,0.0012153931272156856,-517.5685108424705
58,2.350172519683838,-560.6164043098213,25.949393905112107,-520.4257642098345,-683.1776902567593,0.8967773520165806,0.05,0.03454303741455078,0.5827834606170654,0.025078533,0.05549965,-552.7460726217902,-0.09302928930697878,-2.3007375579664386,0.0,8487,1.6150527000427246,0.0018103950377462584,0.001659630347767757,-518.0210302373765
59,2.7873334884643555,-562.4835488596565,25.284252878262045,-522.5390818318601,-667.136358117604,0.9073316545008381,0.05,0.033344268798828125,0.5168821811676025,0.025245173,0.05514841,-553.7198202455768,-0.09320158034868822,-2.309706954932825,0.0,8512,1.5305993556976318,0.0018201345767382422,0.0017153325591971536,-518.8225874311456
60,2.368058204650879,-559.4498391083957,24.46140579010151,-515.0370056566868,-634.0935576795465,0.8837066790615228,0.05,0.049709320068359375,0.5455527305603027,0.025167452,0.056544334,-554.2928221318587,-0.09123126662024263,-2.2949128315614113,0.0,8586,1.362865924835205,0.001509751233658841,0.0014087963784601178,-520.2484717073936
